especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
ADRGGAL,2000-07-24,17,18.25,16.75,17.5,79500,964407600
ADRGGAL,2000-07-25,17.4844,17.75,16.75,17.5,126200,964494000
ADRGGAL,2000-07-26,17.25,17.5625,17.1875,17.5,28900,964580400
ADRGGAL,2000-07-27,17.5,17.625,17.375,17.5,61200,964666800
ADRGGAL,2000-07-28,17.5625,17.5625,17.125,17.375,146100,964753200
ADRGGAL,2000-07-31,17.5,17.6875,16.875,17.6875,178400,965012400
ADRGGAL,2000-08-01,17.5625,18.4375,17.25,17.5,87400,965098800
ADRGGAL,2000-08-02,17.75,18,17.6875,17.6875,34800,965185200
ADRGGAL,2000-08-03,17.625,17.6719,17.25,17.375,60800,965271600
ADRGGAL,2000-08-04,17.375,17.5,17.25,17.25,48600,965358000
ADRGGAL,2000-08-07,17.25,17.4375,17.0625,17.25,52500,965617200
ADRGGAL,2000-08-08,17.125,17.5625,17.125,17.25,107500,965703600
ADRGGAL,2000-08-09,17.3125,17.4375,16.75,16.9375,147500,965790000
ADRGGAL,2000-08-10,16.8125,17.125,16.375,16.375,184700,965876400
ADRGGAL,2000-08-11,16.5625,16.5625,15.75,16,312500,965962800
ADRGGAL,2000-08-14,15.9375,16,15.5625,15.5625,117300,966222000
ADRGGAL,2000-08-15,15.5625,15.5625,15.1875,15.375,242800,966308400
ADRGGAL,2000-08-16,15.25,15.25,13.625,14.375,288500,966394800
ADRGGAL,2000-08-17,14.5,15.875,14.5,15.5,488900,966481200
ADRGGAL,2000-08-18,15.4375,15.4375,15.0625,15.25,183400,966567600
ADRGGAL,2000-08-21,15.25,15.25,15,15,11600,966826800
ADRGGAL,2000-08-22,15,15.8125,14.9375,15.6875,129700,966913200
ADRGGAL,2000-08-23,15.5625,16.25,15.25,16,319200,966999600
ADRGGAL,2000-08-24,15.9375,16.375,15.8125,16.375,214800,967086000
