especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
ADRTS,2002-12-16,3.28,3.6,3.28,3.54,556500,1040007600
ADRTS,2002-12-17,3.56,3.68,3.48,3.5,1523000,1040094000
ADRTS,2002-12-18,3.53,3.53,3.49,3.508,413500,1040180400
ADRTS,2002-12-19,3.502,3.612,3.5,3.612,1211500,1040266800
ADRTS,2002-12-20,3.62,3.84,3.62,3.712,1549000,1040353200
ADRTS,2002-12-23,3.762,3.836,3.762,3.812,501500,1040612400
ADRTS,2002-12-24,3.772,3.86,3.772,3.86,126000,1040698800
ADRTS,2002-12-26,3.88,3.884,3.82,3.866,317000,1040871600
ADRTS,2002-12-27,3.866,3.866,3.818,3.852,298000,1040958000
ADRTS,2002-12-30,3.84,3.84,3.8,3.802,119500,1041217200
ADRTS,2002-12-31,3.81,3.844,3.81,3.844,111000,1041303600
ADRTS,2003-01-02,3.84,3.908,3.84,3.902,328500,1041476400
ADRTS,2003-01-03,3.89,3.98,3.87,3.98,344000,1041562800
ADRTS,2003-01-06,4.01,4.12,4,4.116,866000,1041822000
ADRTS,2003-01-07,4.11,4.27,4.1,4.254,651500,1041908400
ADRTS,2003-01-08,4.222,4.58,4.21,4.5,1763500,1041994800
ADRTS,2003-01-09,4.46,4.64,4.33,4.59,2531000,1042081200
ADRTS,2003-01-10,4.57,4.57,4.48,4.48,950000,1042167600
ADRTS,2003-01-13,4.46,4.46,4.36,4.39,205000,1042426800
ADRTS,2003-01-14,4.32,4.38,4.304,4.35,447000,1042513200
ADRTS,2003-01-15,4.34,4.34,4.304,4.336,435500,1042599600
ADRTS,2003-01-16,4.338,4.45,4.338,4.448,617500,1042686000
ADRTS,2003-01-17,4.4,4.4,4.25,4.262,190000,1042772400
ADRTS,2003-01-21,4.264,4.28,4.162,4.22,354500,1043118000
ADRTS,2003-01-22,4.15,4.154,4.06,4.1,328000,1043204400
ADRTS,2003-01-23,4.108,4.13,4.01,4.04,216000,1043290800
ADRTS,2003-01-24,4.04,4.044,3.922,3.938,142000,1043377200
ADRTS,2003-01-27,3.94,3.96,3.84,3.86,559500,1043636400
ADRTS,2003-01-28,3.86,4,3.85,3.9,329500,1043722800
ADRTS,2003-01-29,3.9,4.02,3.9,3.962,549000,1043809200
ADRTS,2003-01-30,3.906,3.992,3.898,3.95,569000,1043895600
ADRTS,2003-01-31,3.95,3.97,3.91,3.92,780500,1043982000
ADRTS,2003-02-03,3.912,4.16,3.908,4.16,408500,1044241200
ADRTS,2003-02-04,4.15,4.21,4.02,4.11,988000,1044327600
ADRTS,2003-02-05,4.12,4.13,3.994,4.042,697000,1044414000
ADRTS,2003-02-06,4.08,4.08,4.032,4.072,436500,1044500400
ADRTS,2003-02-07,4.03,4.08,3.988,4.08,319000,1044586800
ADRTS,2003-02-10,4.07,4.07,3.992,4.05,563500,1044846000
ADRTS,2003-02-11,4.04,4.212,4.04,4.21,1532000,1044932400
ADRTS,2003-02-12,4.18,4.302,4.18,4.284,1424500,1045018800
ADRTS,2003-02-13,4.286,4.332,4.286,4.302,906000,1045105200
ADRTS,2003-02-14,4.298,4.298,4.242,4.26,903000,1045191600
ADRTS,2003-02-18,4.26,4.338,4.258,4.3,650000,1045537200
ADRTS,2003-02-19,4.302,4.36,4.294,4.33,1093500,1045623600
ADRTS,2003-02-20,4.31,4.346,4.3,4.34,347000,1045710000
ADRTS,2003-02-21,4.34,4.384,4.32,4.376,630500,1045796400
ADRTS,2003-02-24,4.326,4.42,4.326,4.4,1044500,1046055600
ADRTS,2003-02-25,4.36,4.4,4.35,4.4,511000,1046142000
ADRTS,2003-02-26,4.4,4.448,4.4,4.44,634000,1046228400
ADRTS,2003-02-27,4.43,4.46,4.42,4.46,730000,1046314800
ADRTS,2003-02-28,4.46,4.544,4.45,4.478,486500,1046401200
ADRTS,2003-03-03,4.49,4.522,4.49,4.516,823500,1046660400
ADRTS,2003-03-04,4.504,4.514,4.42,4.45,328000,1046746800
ADRTS,2003-03-05,4.47,4.556,4.464,4.54,416000,1046833200
ADRTS,2003-03-06,4.54,4.54,4.44,4.44,365000,1046919600
ADRTS,2003-03-07,4.38,4.408,4.246,4.282,737500,1047006000
ADRTS,2003-03-10,4.27,4.32,4.22,4.28,946000,1047265200
ADRTS,2003-03-11,4.168,4.276,4.168,4.24,501500,1047351600
ADRTS,2003-03-12,4.24,4.388,4.24,4.34,425500,1047438000
ADRTS,2003-03-13,4.35,4.352,4.33,4.332,75500,1047524400
ADRTS,2003-03-14,4.332,4.34,4.258,4.26,186500,1047610800
ADRTS,2003-03-17,4.246,4.46,4.24,4.454,265500,1047870000
ADRTS,2003-03-18,4.45,4.45,4.36,4.416,521000,1047956400
ADRTS,2003-03-19,4.38,4.43,4.35,4.396,505000,1048042800
ADRTS,2003-03-20,4.36,4.4,4.36,4.4,419500,1048129200
ADRTS,2003-03-21,4.392,4.424,4.386,4.406,393500,1048215600
ADRTS,2003-03-24,4.406,4.408,4.38,4.408,155000,1048474800
ADRTS,2003-03-25,4.408,4.49,4.408,4.482,362500,1048561200
ADRTS,2003-03-26,4.444,4.48,4.44,4.48,190500,1048647600
ADRTS,2003-03-27,4.462,4.474,4.456,4.458,182000,1048734000
ADRTS,2003-03-28,4.434,4.458,4.394,4.394,699000,1048820400
ADRTS,2003-03-31,4.394,4.408,4.354,4.408,421500,1049079600
ADRTS,2003-04-01,4.4,4.45,4.392,4.41,475000,1049166000
ADRTS,2003-04-02,4.406,4.42,4.36,4.37,287500,1049252400
ADRTS,2003-04-03,4.376,4.44,4.376,4.38,784000,1049338800
ADRTS,2003-04-04,4.39,4.404,4.38,4.4,559500,1049425200
ADRTS,2003-04-07,4.39,4.4,4.38,4.392,55000,1049684400
ADRTS,2003-04-08,4.39,4.416,4.384,4.4,596500,1049770800
ADRTS,2003-04-09,4.41,4.418,4.36,4.402,458500,1049857200
ADRTS,2003-04-10,4.38,4.45,4.38,4.43,844500,1049943600
ADRTS,2003-04-11,4.43,4.47,4.43,4.46,172500,1050030000
ADRTS,2003-04-14,4.48,4.48,4.46,4.48,315500,1050289200
ADRTS,2003-04-15,4.47,4.49,4.444,4.48,529000,1050375600
ADRTS,2003-04-16,4.498,4.646,4.48,4.634,1230000,1050462000
ADRTS,2003-04-17,4.644,4.646,4.6,4.6,194500,1050548400
ADRTS,2003-04-21,4.612,4.712,4.612,4.704,350500,1050894000
ADRTS,2003-04-22,4.704,4.72,4.698,4.712,316000,1050980400
ADRTS,2003-04-23,4.728,5,4.728,4.82,1157500,1051066800
ADRTS,2003-04-24,4.75,4.764,4.72,4.76,468000,1051153200
ADRTS,2003-04-25,4.77,4.858,4.77,4.856,664000,1051239600
ADRTS,2003-04-28,4.85,4.85,4.5,4.55,1467500,1051498800
ADRTS,2003-04-29,4.59,4.666,4.58,4.666,1058000,1051585200
ADRTS,2003-04-30,4.666,4.712,4.61,4.7,753000,1051671600
ADRTS,2003-05-01,4.71,4.76,4.7,4.76,167000,1051758000
ADRTS,2003-05-02,4.766,4.858,4.762,4.858,417500,1051844400
ADRTS,2003-05-05,4.858,4.89,4.8,4.836,231500,1052103600
ADRTS,2003-05-06,4.85,4.85,4.76,4.77,469500,1052190000
ADRTS,2003-05-07,4.76,4.79,4.7,4.774,545000,1052276400
ADRTS,2003-05-08,4.776,4.81,4.71,4.794,537000,1052362800
ADRTS,2003-05-09,4.76,4.9,4.76,4.862,927000,1052449200
ADRTS,2003-05-12,4.88,4.888,4.72,4.744,659500,1052708400
ADRTS,2003-05-13,4.75,4.758,4.66,4.666,493500,1052794800
ADRTS,2003-05-14,4.68,4.688,4.57,4.58,513500,1052881200
ADRTS,2003-05-15,4.58,4.596,4.34,4.448,1925500,1052967600
ADRTS,2003-05-16,4.44,4.536,4.432,4.518,1070000,1053054000
ADRTS,2003-05-19,4.508,4.508,4.454,4.454,862500,1053313200
ADRTS,2003-05-20,4.454,4.5,4.454,4.478,785500,1053399600
ADRTS,2003-05-21,4.42,4.52,4.4,4.52,479000,1053486000
ADRTS,2003-05-22,4.52,4.56,4.52,4.546,415500,1053572400
ADRTS,2003-05-23,4.566,4.64,4.566,4.6,104500,1053658800
ADRTS,2003-05-27,4.61,4.63,4.574,4.58,177500,1054004400
ADRTS,2003-05-28,4.59,4.614,4.584,4.614,498000,1054090800
ADRTS,2003-05-29,4.612,4.656,4.604,4.64,95500,1054177200
ADRTS,2003-05-30,4.64,4.66,4.6,4.66,515500,1054263600
ADRTS,2003-06-02,4.66,4.66,4.63,4.642,193500,1054522800
ADRTS,2003-06-03,4.64,4.64,4.55,4.57,173500,1054609200
ADRTS,2003-06-04,4.56,4.604,4.54,4.604,357000,1054695600
ADRTS,2003-06-05,4.62,4.66,4.606,4.634,406000,1054782000
ADRTS,2003-06-06,4.64,4.712,4.64,4.654,459500,1054868400
ADRTS,2003-06-09,4.69,4.7,4.652,4.67,146500,1055127600
ADRTS,2003-06-10,4.65,4.7,4.65,4.66,414000,1055214000
ADRTS,2003-06-11,4.662,4.76,4.662,4.72,325000,1055300400
ADRTS,2003-06-12,4.73,4.832,4.73,4.78,779000,1055386800
ADRTS,2003-06-13,4.77,4.874,4.754,4.862,1085500,1055473200
ADRTS,2003-06-16,4.89,4.94,4.882,4.938,490000,1055732400
ADRTS,2003-06-17,4.958,5.156,4.95,5.102,688500,1055818800
ADRTS,2003-06-18,4.92,4.994,4.91,4.946,483500,1055905200
ADRTS,2003-06-19,4.94,5.006,4.94,4.95,634500,1055991600
ADRTS,2003-06-20,4.95,5.03,4.94,5.01,384000,1056078000
ADRTS,2003-06-23,4.96,5.082,4.956,5.022,699000,1056337200
ADRTS,2003-06-24,5.02,5.16,5.02,5.08,1452000,1056423600
ADRTS,2003-06-25,5.11,5.226,5.11,5.162,1394000,1056510000
ADRTS,2003-06-26,5.116,5.124,5.086,5.12,641000,1056596400
ADRTS,2003-06-27,5.14,5.148,5.1,5.122,296000,1056682800
ADRTS,2003-06-30,5.172,5.172,5.066,5.1,308000,1056942000
ADRTS,2003-07-01,5.096,5.096,5.058,5.08,297000,1057028400
ADRTS,2003-07-02,5.028,5.156,5.028,5.148,829500,1057114800
ADRTS,2003-07-03,5.14,5.158,5.11,5.142,311000,1057201200
ADRTS,2003-07-07,5.18,5.22,5.138,5.182,1006000,1057546800
ADRTS,2003-07-08,5.15,5.22,5.15,5.214,105000,1057633200
ADRTS,2003-07-09,5.214,5.29,5.21,5.232,101500,1057719600
ADRTS,2003-07-10,5.244,5.244,5.16,5.164,249000,1057806000
ADRTS,2003-07-11,5.15,5.2,5.136,5.18,679000,1057892400
