especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
YPF,1993-06-30,22,23,21.625,21.75,9060600,741409200
YPF,1993-07-01,21.375,21.625,21,21.25,4273100,741495600
YPF,1993-07-02,21.125,21.25,20.75,21.125,2504500,741582000
YPF,1993-07-06,20.875,21,20.625,20.75,2030400,741927600
YPF,1993-07-07,20.875,21,20.625,20.875,2447800,742014000
YPF,1993-07-08,20.875,21,20.625,20.75,1115800,742100400
YPF,1993-07-09,20.75,20.75,20.25,20.25,1615700,742186800
YPF,1993-07-12,20.25,20.625,20.25,20.375,2075000,742446000
YPF,1993-07-13,20.375,20.5,20.25,20.5,1914700,742532400
YPF,1993-07-14,20.5,20.5,19.875,20.25,3669300,742618800
YPF,1993-07-15,20.125,20.375,19.875,19.875,2585400,742705200
YPF,1993-07-16,19.875,20.125,19.125,19.5,2213200,742791600
YPF,1993-07-19,19.25,19.375,18.875,19,2702800,743050800
YPF,1993-07-20,19.25,19.625,19.25,19.5,1508100,743137200
YPF,1993-07-21,19.5,19.625,19.375,19.5,936000,743223600
YPF,1993-07-22,19.5,19.625,19.375,19.625,813800,743310000
YPF,1993-07-23,19.625,19.75,19.5,19.625,720300,743396400
YPF,1993-07-26,20,20.125,19.875,20,1553700,743655600
YPF,1993-07-27,20.125,20.375,20,20.375,1567100,743742000
YPF,1993-07-28,20.5,20.75,20.375,20.625,1318200,743828400
YPF,1993-07-29,20.625,20.75,20.5,20.625,611000,743914800
YPF,1993-07-30,20.625,20.625,20.25,20.25,988600,744001200
YPF,1993-08-02,20.375,20.625,20.375,20.5,1671000,744260400
YPF,1993-08-03,20.5,20.625,20.125,20.375,971500,744346800
YPF,1993-08-04,20.25,20.5,20.125,20.125,969800,744433200
YPF,1993-08-05,20.375,20.375,20,20,825000,744519600
YPF,1993-08-06,20,20.125,19.625,19.875,1318700,744606000
YPF,1993-08-09,20,20.5,20,20.25,3171200,744865200
YPF,1993-08-10,20.5,20.75,20.375,20.375,2129700,744951600
YPF,1993-08-11,20.5,20.625,20.5,20.625,1326200,745038000
YPF,1993-08-12,20.625,21,20.5,20.875,1160100,745124400
YPF,1993-08-13,21,21.625,21,21.625,1763600,745210800
YPF,1993-08-16,21.625,22.125,21.5,22,1182400,745470000
YPF,1993-08-17,21.875,22.875,21.875,22.875,1699800,745556400
YPF,1993-08-18,22.875,23.25,22.5,22.625,2246300,745642800
YPF,1993-08-19,22.75,22.75,21.875,22,1280300,745729200
YPF,1993-08-20,21.875,22.625,21.75,22.625,732500,745815600
YPF,1993-08-23,22.625,22.625,22.375,22.625,443600,746074800
YPF,1993-08-24,22.625,23,22.125,23,650900,746161200
YPF,1993-08-25,23.25,23.75,23.25,23.25,2541300,746247600
YPF,1993-08-26,23.375,24,23.25,24,1243500,746334000
YPF,1993-08-27,23.875,24,23.375,23.625,675900,746420400
YPF,1993-08-30,23.25,23.875,23.25,23.875,714300,746679600
YPF,1993-08-31,23.875,24.125,23.75,23.875,1217300,746766000
YPF,1993-09-01,23.875,24.125,23.75,24.125,927600,746852400
YPF,1993-09-02,24.125,24.375,24,24,877600,746938800
YPF,1993-09-03,24.125,24.25,24,24.125,436600,747025200
YPF,1993-09-07,24.125,24.375,22.5,22.625,1908300,747370800
