ticker,date,price,qty,amount,available_cash,order,total_qty
YPF,2021-07-02,4.53,662,-2998.86,97097.92,BUY,662
GGAL,2021-07-06,8.31,361,-2999.91,96999.15,BUY,361
BMA,2021-07-06,14.525,206,-2992.15,96984.54,BUY,206
TS,2021-07-06,21.06,142,-2990.52,97009.48,BUY,142
YPF,2021-07-07,4.34,-662,2873.08,99971.0,SELL,0
YPF,2021-07-08,4.22,710,-2996.2,96974.8,BUY,710
YPF,2021-07-08,4.22,-710,2996.2,99971.0,SELL,0
TS,2021-07-09,21.42,-142,3041.64,100051.12,SELL,0
BMA,2021-07-09,14.28,-206,2941.68,99926.22,SELL,0
GGAL,2021-07-12,8.22,-361,2967.42,99966.57,SELL,0
TS,2021-07-13,20.92,-143,2991.56,100051.12,SELL,0
TS,2021-07-13,20.92,143,-2991.56,97059.56,BUY,143
YPF,2021-07-14,4.49,-668,2999.32,99971.0,SELL,0
YPF,2021-07-14,4.49,668,-2999.32,96971.68,BUY,668
GGAL,2021-07-15,8.35,-359,2997.65,99966.57,SELL,0
GGAL,2021-07-15,8.35,359,-2997.65,96968.92,BUY,359
YPF,2021-07-15,4.34,691,-2998.94,96972.06,BUY,691
BMA,2021-07-15,14.45,-207,2991.15,99926.22,SELL,0
BMA,2021-07-15,14.45,207,-2991.15,96935.07,BUY,207
TS,2021-07-15,20.31,147,-2985.57,97065.55,BUY,147
GGAL,2021-07-16,8.18,366,-2993.88,96972.69,BUY,366
BMA,2021-07-19,13.915,215,-2991.72,96934.5,BUY,215
TS,2021-07-20,19.55,-147,2873.85,99939.4,SELL,0
YPF,2021-07-20,4.15,-691,2867.65,99839.71,SELL,0
GGAL,2021-07-21,8.38,-366,3067.08,100039.77,SELL,0
BMA,2021-07-21,14.55,-215,3128.25,100062.75,SELL,0
GGAL,2021-07-22,8.12,-369,2996.28,100039.77,SELL,0
TS,2021-07-22,19.93,150,-2989.5,96949.9,BUY,150
TS,2021-07-22,19.93,-150,2989.5,99939.4,SELL,0
YPF,2021-07-22,4.32,-694,2998.08,99839.71,SELL,0
BMA,2021-07-22,14.07,213,-2996.91,97065.84,BUY,213
YPF,2021-07-22,4.32,694,-2998.08,96841.63,BUY,694
GGAL,2021-07-22,8.12,369,-2996.28,97043.49,BUY,369
GGAL,2021-07-23,7.97,376,-2996.72,97043.05,BUY,376
YPF,2021-07-23,4.24,707,-2997.68,96842.03,BUY,707
GGAL,2021-07-26,8.15,-376,3064.4,100107.45,SELL,0
YPF,2021-07-26,4.36,-707,3082.52,99924.55,SELL,0
TS,2021-07-27,20.535,146,-2998.11,96941.29,BUY,146
YPF,2021-07-27,4.18,717,-2997.06,96927.49,BUY,717
BMA,2021-07-27,13.865,-213,2953.24,100019.08,SELL,0
TS,2021-07-27,20.535,-146,2998.11,99939.4,SELL,0
YPF,2021-07-28,4.335,-717,3108.2,100035.69,SELL,0
GGAL,2021-07-29,8.08,-371,2997.68,100107.45,SELL,0
GGAL,2021-07-29,8.08,371,-2997.68,97109.77,BUY,371
BMA,2021-07-30,13.5,222,-2997.0,97022.08,BUY,222
BMA,2021-07-30,13.5,-222,2997.0,100019.08,SELL,0
TS,2021-07-30,20.44,146,-2984.24,96955.16,BUY,146
GGAL,2021-07-30,7.81,384,-2999.04,97108.41,BUY,384
YPF,2021-08-02,4.27,-702,2997.54,100035.69,SELL,0
YPF,2021-08-02,4.27,702,-2997.54,97038.15,BUY,702
GGAL,2021-08-03,8.02,-384,3079.68,100188.09,SELL,0
TS,2021-08-03,20.83,-146,3041.18,99996.34,SELL,0
TS,2021-08-04,19.85,151,-2997.35,96998.99,BUY,151
YPF,2021-08-04,4.19,715,-2995.85,97039.84,BUY,715
BMA,2021-08-04,13.51,222,-2999.22,97019.86,BUY,222
BMA,2021-08-04,13.51,-222,2999.22,100019.08,SELL,0
TS,2021-08-04,19.85,-151,2997.35,99996.34,SELL,0
YPF,2021-08-05,4.38,-715,3131.7,100171.54,SELL,0
YPF,2021-08-12,5.04,-595,2998.8,100171.54,SELL,0
TS,2021-08-12,20.78,-144,2992.32,99996.34,SELL,0
YPF,2021-08-12,5.04,595,-2998.8,97172.74,BUY,595
TS,2021-08-12,20.78,144,-2992.32,97004.02,BUY,144
YPF,2021-08-13,4.87,616,-2999.92,97171.62,BUY,616
GGAL,2021-08-13,8.48,-353,2993.44,100188.09,SELL,0
BMA,2021-08-13,14.51,-206,2989.06,100019.08,SELL,0
TS,2021-08-13,20.46,146,-2987.16,97009.18,BUY,146
BMA,2021-08-13,14.51,206,-2989.06,97030.02,BUY,206
GGAL,2021-08-13,8.48,353,-2993.44,97194.65,BUY,353
GGAL,2021-08-16,8.36,358,-2992.88,97195.21,BUY,358
BMA,2021-08-16,14.23,210,-2988.3,97030.78,BUY,210
YPF,2021-08-18,4.59,-616,2827.44,99999.06,SELL,0
TS,2021-08-18,19.82,-146,2893.72,99902.9,SELL,0
TS,2021-08-19,19.32,-155,2994.6,99902.9,SELL,0
YPF,2021-08-19,4.4,681,-2996.4,97002.66,BUY,681
TS,2021-08-19,19.32,155,-2994.6,96908.3,BUY,155
YPF,2021-08-19,4.4,-681,2996.4,99999.06,SELL,0
